Dist,X,Y,Z
0.8,101322.8746,122985.7212,2.764
1,101234.1674,123240.5546,2.717
1.2,101158.4723,123473.4972,2.743
1.4,101111.7534,123679.8236,2.764
1.6,101065.3195,123870.4821,2.734
1.8,101019.8074,124048.0596,2.848
2,100970.5723,124211.6111,2.861
2.2,100847.6099,124387.5781,2.933
2.4,100742.9711,124561.008,2.96
2.6,100656.699,124748.5977,2.982
2.8,100558.0968,124916.366,2.94
3,100438.3619,125028.9919,2.822
3.2,100309.38,125187.177,2.812
3.4,100164.6444,125325.4602,2.984
3.6,100041.0264,125452.8903,3.01
3.8,99858.7409,125535.2418,2.886
4,99681.9934,125607.7554,2.895
4.2,99562.226,125782.2276,2.86
4.4,99385.9194,125771.976,2.954
4.6,99200.4388,125748.2215,3.27
4.8,99024.052,125698.317,3.267
5,98847.1033,125630.6122,2.315
5.2,98683.2734,125545.17,1.368
5.4,98534.8286,125432.522,1.575
5.6,98396.648,125287.618,1.901
5.8,98201.81,125157.132,3.665
6,98006.955,125130.45,4.507
6.2,97876.125,125058.838,4.447
6.4,97834.556,124928.888,1.436
6.6,97825.816,124753.584,1.947
6.8,97843.242,124545.861,3.375
7,97914.675,124363.244,2.87
7.2,97985.1172,124155.977,2.935
7.4,97995.7616,123948.4214,3.045
7.6,97988.965,123725.459,3.309
7.8,97857.5794,123524.7427,3.101
8,97664.7215,123357.5396,2.49
8.2,97435.632,123337.084,2.603
8.4,97242.7312,123317.5054,4.8
8.6,97028.9503,123328.8095,4.309
8.8,96820.733,123381.987,4.321
9,96615.844,123442.676,4.331
9.2,96426.153,123507.722,4.349
9.4,96229.784,123602.753,4.361
9.6,96053.621,123709.864,4.372
9.8,95890.864,123820.132,4.373
10,95728.755,123947.303,4.394
10.2,95556.361,124066.831,4.439
10.4,95399.4437,124245.5635,4.452
10.6,95352.948,124480.223,4.466
10.8,95371.047,124722.582,4.479
11,95509.2202,124927.5032,4.492
11.2,95670.03,125058.4138,4.505
11.4,95744.7338,125188.8491,4.52
11.6,95708.978,125336.114,4.534
